681	 107	 591	 57	 661	 502	 400	 383
Brazil (1985)	 GoodFellas (1990)	 What's Eating Gilbert Grape (1993)	 Local Hero (1983)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Trainspotting (1996)
Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 M*A*S*H (1970)	 Robert A. Heinlein's The Puppet Masters (1994)	 Maltese Falcon, The (1941)	 Spawn (1997)	 Dances with Wolves (1990)	 Right Stuff, The (1983)

928	 913	 565	 184	 120	 209	 489	 307
Cable Guy, The (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Pump Up the Volume (1990)	 Ulee's Gold (1997)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Mighty Aphrodite (1995)	 Die Hard (1988)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Jack (1996)	 Bringing Up Baby (1938)	 Legends of the Fall (1994)	 Trainspotting (1996)
Crow: City of Angels, The (1996)	 Harold and Maude (1971)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Ulee's Gold (1997)
What's Eating Gilbert Grape (1993)	 Nikita (La Femme Nikita) (1990)	 What's Eating Gilbert Grape (1993)	 English Patient, The (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Terminator, The (1984)	 Taxi Driver (1976)	 It Happened One Night (1934)
GoldenEye (1995)	 Gone with the Wind (1939)	 Gone with the Wind (1939)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Brazil (1985)	 Jack (1996)
In & Out (1997)	 Children of the Corn: The Gathering (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Heat (1995)	 In the Name of the Father (1993)	 GoodFellas (1990)	 Mighty Aphrodite (1995)
Sling Blade (1996)	 It Happened One Night (1934)	 Brazil (1985)	 Nikita (La Femme Nikita) (1990)	 This Is Spinal Tap (1984)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Local Hero (1983)
Usual Suspects, The (1995)	 Bringing Up Baby (1938)	 Harold and Maude (1971)	 Local Hero (1983)	 Tomorrow Never Dies (1997)	 Clockwork Orange, A (1971)	 Kull the Conqueror (1997)	 Everyone Says I Love You (1996)
Desperate Measures (1998)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Jack (1996)	 Marvin's Room (1996)	 Shining, The (1980)	 Princess Bride, The (1987)	 North by Northwest (1959)
Raiders of the Lost Ark (1981)	 Local Hero (1983)	 In the Name of the Father (1993)	 Haunted World of Edward D. Wood Jr., The (1995)	 Cinema Paradiso (1988)	 Big Night (1996)	 Hot Shots! Part Deux (1993)	 Pump Up the Volume (1990)

668	 190	 435	 910	 301	 29	 804	 37
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Evita (1996)	 Maltese Falcon, The (1941)	 Searching for Bobby Fischer (1993)	 Mighty Aphrodite (1995)	 Heavy Metal (1981)	 Wishmaster (1997)
Spawn (1997)	 Gone with the Wind (1939)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Supercop (1992)	 Ulee's Gold (1997)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Alien (1979)	 Jack (1996)	 It Happened One Night (1934)	 Snow White and the Seven Dwarfs (1937)	 Spawn (1997)	 unknown
Richard III (1995)	 2001: A Space Odyssey (1968)	 On Golden Pond (1981)	 Leaving Las Vegas (1995)	 Leaving Las Vegas (1995)	 What's Eating Gilbert Grape (1993)	 Heat (1995)	 Telling Lies in America (1997)
Local Hero (1983)	 Apartment, The (1960)	 Spitfire Grill, The (1996)	 Harold and Maude (1971)	 Jungle2Jungle (1997)	 Ulee's Gold (1997)	 Maltese Falcon, The (1941)	 In the Company of Men (1997)
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Casino (1995)	 Cinema Paradiso (1988)	 Washington Square (1997)	 Brazil (1985)	 Apocalypse Now (1979)	 Aliens (1986)
Delicatessen (1991)	 Bad Moon (1996)	 Raising Arizona (1987)	 It Happened One Night (1934)	 Priest (1994)	 Princess Bride, The (1987)	 Trainspotting (1996)	 Wedding Singer, The (1998)
Jack (1996)	 It Happened One Night (1934)	 Evil Dead II (1987)	 English Patient, The (1996)	 Pink Floyd - The Wall (1982)	 Heavy Metal (1981)	 Local Hero (1983)	 Homage (1995)
It Happened One Night (1934)	 Harold and Maude (1971)	 Good, The Bad and The Ugly, The (1966)	 Haunted World of Edward D. Wood Jr., The (1995)	 Seven (Se7en) (1995)	 Babe (1995)	 Priest (1994)	 City Slickers II: The Legend of Curly's Gold (1994)
Harold and Maude (1971)	 Local Hero (1983)	 Jane Eyre (1996)	 Pump Up the Volume (1990)	 Everyone Says I Love You (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Everyone Says I Love You (1996)	 Body Parts (1991)

481	 546	 153	 828	 601	 75	 533	 122
Jack (1996)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Usual Suspects, The (1995)	 Wings of Desire (1987)
Pump Up the Volume (1990)	 GoodFellas (1990)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)	 French Twist (Gazon maudit) (1995)	 Maltese Falcon, The (1941)
Cinema Paradiso (1988)	 Princess Bride, The (1987)	 Brazil (1985)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Legends of the Fall (1994)
Trainspotting (1996)	 Brazil (1985)	 Graduate, The (1967)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 North by Northwest (1959)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Priest (1994)	 Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Better Off Dead... (1985)	 Cinema Paradiso (1988)	 Bringing Up Baby (1938)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)	 Hot Shots! Part Deux (1993)	 Mr. Holland's Opus (1995)
Annie Hall (1977)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Gattaca (1997)	 Nikita (La Femme Nikita) (1990)	 Spawn (1997)	 Dances with Wolves (1990)	 Jack (1996)
Dead Man Walking (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 French Twist (Gazon maudit) (1995)	 Everyone Says I Love You (1996)	 Full Metal Jacket (1987)	 It Happened One Night (1934)	 Snow White and the Seven Dwarfs (1937)	 Local Hero (1983)
Robert A. Heinlein's The Puppet Masters (1994)	 M*A*S*H (1970)	 Heat (1995)	 What's Eating Gilbert Grape (1993)	 Wings of Desire (1987)	 As Good As It Gets (1997)	 Lawnmower Man, The (1992)	 2001: A Space Odyssey (1968)
It Happened One Night (1934)	 Taxi Driver (1976)	 Taxi Driver (1976)	 2001: A Space Odyssey (1968)	 Heat (1995)	 Taxi Driver (1976)	 Princess Bride, The (1987)	 Princess Bride, The (1987)

498	 579	 779	 141	 904	 644	 242	 913
Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Wrong Trousers, The (1993)	 Maltese Falcon, The (1941)	 Supercop (1992)	 Heavy Metal (1981)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
GoodFellas (1990)	 Brazil (1985)	 Apocalypse Now (1979)	 Everyone Says I Love You (1996)	 Spawn (1997)	 Supercop (1992)	 Everyone Says I Love You (1996)	 Die Hard (1988)
Princess Bride, The (1987)	 Kull the Conqueror (1997)	 Aliens (1986)	 Jack (1996)	 Full Metal Jacket (1987)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Harold and Maude (1971)
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 So I Married an Axe Murderer (1993)	 Local Hero (1983)	 Right Stuff, The (1983)	 2001: A Space Odyssey (1968)	 Maltese Falcon, The (1941)	 Nikita (La Femme Nikita) (1990)
Taxi Driver (1976)	 Apartment, The (1960)	 Mighty Aphrodite (1995)	 Marvin's Room (1996)	 Nikita (La Femme Nikita) (1990)	 Maltese Falcon, The (1941)	 Jack (1996)	 Gone with the Wind (1939)
Mighty Aphrodite (1995)	 Pump Up the Volume (1990)	 Disclosure (1994)	 Legends of the Fall (1994)	 Mr. Smith Goes to Washington (1939)	 Legends of the Fall (1994)	 Nikita (La Femme Nikita) (1990)	 Children of the Corn: The Gathering (1996)
3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)	 Cinema Paradiso (1988)	 Heavy Metal (1981)	 Gone with the Wind (1939)	 It Happened One Night (1934)	 It Happened One Night (1934)
Brazil (1985)	 Taxi Driver (1976)	 Shining, The (1980)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Bringing Up Baby (1938)
Cinema Paradiso (1988)	 Tales From the Crypt Presents: Demon Knight (1995)	 Jack (1996)	 North by Northwest (1959)	 Blues Brothers, The (1980)	 Trainspotting (1996)	 Marvin's Room (1996)	 Maltese Falcon, The (1941)
Heat (1995)	 Local Hero (1983)	 Haunted World of Edward D. Wood Jr., The (1995)	 Trainspotting (1996)	 Snow White and the Seven Dwarfs (1937)	 Stand by Me (1986)	 Haunted World of Edward D. Wood Jr., The (1995)	 Local Hero (1983)

